station_id,connector_id,timestamp,status
STAT-01,1,2025-04-07T00:00:00+00:00,Available
STAT-01,2,2025-04-07T00:00:00+00:00,Available
STAT-02,1,2025-04-07T00:00:00+00:00,Available
STAT-02,2,2025-04-07T00:00:00+00:00,Available
STAT-03,1,2025-04-07T00:00:00+00:00,Available
STAT-03,2,2025-04-07T00:00:00+00:00,Available
STAT-03,2,2025-04-07T09:36:01.184995+00:00,Charging
STAT-02,1,2025-04-07T09:50:10.958683+00:00,Charging
STAT-01,1,2025-04-07T10:40:41.340082+00:00,Charging
STAT-01,1,2025-04-07T11:40:23.340082+00:00,Available
STAT-02,2,2025-04-07T12:14:56.471451+00:00,Charging
STAT-03,1,2025-04-07T12:32:14.025625+00:00,Charging
STAT-02,1,2025-04-07T13:54:39.322319+00:00,Available
STAT-01,1,2025-04-07T13:59:35.946794+00:00,Charging
STAT-02,1,2025-04-07T14:10:16.927315+00:00,Charging
STAT-03,2,2025-04-07T14:20:28.457722+00:00,Available
STAT-03,1,2025-04-07T14:42:55.480170+00:00,Available
STAT-03,1,2025-04-07T15:11:58.717337+00:00,Charging
STAT-02,2,2025-04-07T15:30:03.016906+00:00,Available
STAT-02,2,2025-04-07T15:55:55.566354+00:00,Charging
STAT-02,1,2025-04-07T18:02:38.745497+00:00,Available
STAT-01,1,2025-04-07T18:31:07.583158+00:00,Available
STAT-03,1,2025-04-07T18:50:48.899155+00:00,Available
STAT-03,1,2025-04-07T19:08:43.923620+00:00,Charging
STAT-02,2,2025-04-07T19:12:07.566354+00:00,Available
STAT-02,1,2025-04-07T20:52:11.517317+00:00,Charging
STAT-03,1,2025-04-07T20:57:06.832711+00:00,Available
STAT-01,2,2025-04-07T23:35:20.038930+00:00,Charging
STAT-02,1,2025-04-08T00:45:45.335499+00:00,Available
STAT-01,2,2025-04-08T01:28:17.857112+00:00,Available
STAT-03,1,2025-04-08T12:04:35.596743+00:00,Charging
STAT-01,1,2025-04-08T12:15:09.348598+00:00,Charging
STAT-01,2,2025-04-08T12:20:35.850589+00:00,Charging
STAT-03,2,2025-04-08T13:01:19.720991+00:00,Charging
STAT-02,1,2025-04-08T13:25:07.637138+00:00,Charging
STAT-03,1,2025-04-08T13:30:25.233107+00:00,Available
STAT-02,2,2025-04-08T13:35:59.162823+00:00,Charging
STAT-03,2,2025-04-08T14:36:46.993718+00:00,Available
STAT-03,2,2025-04-08T14:52:40.124603+00:00,Charging
STAT-01,2,2025-04-08T14:59:26.032407+00:00,Available
STAT-01,1,2025-04-08T15:15:42.075871+00:00,Available
STAT-02,2,2025-04-08T15:37:24.253732+00:00,Available
STAT-03,2,2025-04-08T16:05:48.851876+00:00,Available
STAT-01,1,2025-04-08T16:33:23.995263+00:00,Charging
STAT-03,1,2025-04-08T16:49:41.985617+00:00,Charging
STAT-02,1,2025-04-08T17:14:19.637138+00:00,Available
STAT-01,1,2025-04-08T17:44:10.358899+00:00,Available
STAT-03,1,2025-04-08T17:51:52.894708+00:00,Available
STAT-01,2,2025-04-08T19:01:58.231991+00:00,Charging
STAT-03,1,2025-04-08T20:47:20.562069+00:00,Charging
STAT-01,2,2025-04-08T20:48:56.050173+00:00,Available
STAT-03,1,2025-04-08T21:27:42.380251+00:00,Available
STAT-01,2,2025-04-08T21:42:28.050177+00:00,Charging
STAT-01,2,2025-04-08T22:35:32.413813+00:00,Available
STAT-02,2,2025-04-09T08:00:00+00:00,Faulted
STAT-03,2,2025-04-09T10:56:18.794818+00:00,Charging
STAT-01,2,2025-04-09T12:12:28.092132+00:00,Charging
STAT-02,1,2025-04-09T12:32:45.542531+00:00,Charging
STAT-01,1,2025-04-09T12:48:56.702995+00:00,Charging
STAT-03,2,2025-04-09T13:02:17.997184+00:00,Charging
STAT-03,1,2025-04-09T13:41:20.475568+00:00,Charging
STAT-01,1,2025-04-09T14:32:08.702995+00:00,Available
STAT-01,1,2025-04-09T14:40:16.891591+00:00,Charging
STAT-01,2,2025-04-09T14:59:42.273950+00:00,Available
STAT-03,1,2025-04-09T15:28:37.930113+00:00,Available
STAT-03,1,2025-04-09T15:33:29.162171+00:00,Charging
STAT-01,2,2025-04-09T15:57:28.521886+00:00,Charging
STAT-02,1,2025-04-09T16:29:58.633440+00:00,Available
STAT-01,1,2025-04-09T17:10:03.800682+00:00,Available
STAT-03,1,2025-04-09T17:19:44.434898+00:00,Available
STAT-03,2,2025-04-09T17:21:10.360820+00:00,Available
STAT-01,2,2025-04-09T17:40:24.158250+00:00,Available
STAT-02,1,2025-04-09T20:18:14.412705+00:00,Charging
STAT-01,2,2025-04-09T20:45:01.402532+00:00,Charging
STAT-02,1,2025-04-09T21:39:29.139978+00:00,Available
STAT-01,2,2025-04-09T22:35:41.766168+00:00,Available
STAT-01,2,2025-04-09T23:54:47.355382+00:00,Charging
STAT-01,2,2025-04-10T05:40:09.589726+00:00,Available
STAT-02,1,2025-04-10T11:58:30.464750+00:00,Charging
STAT-01,2,2025-04-10T12:44:30.011131+00:00,Charging
STAT-03,1,2025-04-10T13:28:09.866347+00:00,Charging
STAT-03,2,2025-04-10T13:35:22.192073+00:00,Charging
STAT-01,1,2025-04-10T13:41:23.346388+00:00,Charging
STAT-01,2,2025-04-10T15:07:18.011131+00:00,Available
STAT-01,1,2025-04-10T15:11:33.164570+00:00,Available
STAT-03,1,2025-04-10T15:27:01.139074+00:00,Available
STAT-01,2,2025-04-10T15:32:30.251669+00:00,Charging
STAT-02,1,2025-04-10T15:45:16.310262+00:00,Available
STAT-02,1,2025-04-10T15:53:07.473286+00:00,Charging
STAT-03,2,2025-04-10T16:26:05.828437+00:00,Available
STAT-02,1,2025-04-10T16:54:52.200559+00:00,Available
STAT-03,1,2025-04-10T16:56:18.113551+00:00,Charging
STAT-02,1,2025-04-10T17:48:14.332502+00:00,Charging
STAT-03,1,2025-04-10T18:08:36.113551+00:00,Available
STAT-02,1,2025-04-10T18:31:13.241593+00:00,Available
STAT-01,2,2025-04-10T20:01:32.190005+00:00,Available
STAT-03,2,2025-04-10T20:02:03.878351+00:00,Charging
STAT-01,2,2025-04-10T20:19:13.678980+00:00,Charging
STAT-03,2,2025-04-10T21:00:06.060169+00:00,Available
STAT-01,1,2025-04-10T21:05:34.320878+00:00,Charging
STAT-01,2,2025-04-10T21:44:20.769889+00:00,Available
STAT-03,2,2025-04-10T22:01:05.623232+00:00,Charging
STAT-01,2,2025-04-10T22:10:49.299224+00:00,Charging
STAT-02,1,2025-04-10T22:34:49.183070+00:00,Charging
STAT-01,2,2025-04-11T00:17:22.026497+00:00,Available
STAT-03,2,2025-04-11T00:57:55.805050+00:00,Available
STAT-02,1,2025-04-11T01:29:18.637615+00:00,Available
STAT-01,1,2025-04-11T02:30:16.866333+00:00,Available
STAT-03,2,2025-04-11T10:37:54.759535+00:00,Charging
STAT-03,2,2025-04-11T15:14:27.486808+00:00,Available
STAT-03,1,2025-04-11T20:00:00+00:00,Unavailable
